Countries,0,1,2,3,4,5,6,7,8
Albania,12881353507.8539,12044208085864,11926957254.6288,12890866742.6533,12319784886.2038,12776280961155,13228247844.1247,11386931489.7968,11883682170.8236
Algeria,171000691877714,137211039898193,161207268655392,200019057307655,209058991952125,209755003250664,213810022462428,165979277276907,160129866569935
Angola,88538611205.1433,70307163678.1895,83799496611.6049,111789686464.26,128052853643447,136709862831308,145712200312505,116193649124475,101123851090473
Argentina,361558037110419,332976484577619,423627422092.49,530163281574658,545982375701128,552025140252246,526319673731638,594749285413212,554860945013.62
Armenia,11662040713.8753,8647936747.98704,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10546135160031
Australia,1052584601611.46,926448240318068,1144260547872.81,1394280784777.68,1543411012579.91,1573696522006.77,1464955475993.76,1349034029453.37,1208039015868.39
Austria,430294287388311,400172297860517,391892746544.69,431120310088.82,409425234155263,430068712971867,441996131736508,381805676697707,394052818287788
Azerbaijan,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,69683935845.2138,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975
Bahamas,10526000000,9981960000,10095760000,10070450000,10720500000,10627600000,10957300000,11792300000,11838800000
Bahrain,25710877659.5745,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539547872.3404,33387712765.9574,31125851063.8298,32250132978.7234
Bangladesh,91631278239.3237,102477791472.39,115279077465226,128637938711386,133355749482478,149990451022.29,172885454931453,195078678697.23,221415188000475
Barbados,4782000000,4479950000,4529900000,4660900000,4656350000,4612500000,4608350000,4584150000,4529050000
Belarus,60763483146.0674,50874078052.2735,58665088956.0255,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47749057078.1996
Belgium,518625897172.99,484552792442345,483548031197108,527008453886929,497884216568867,520925468952938,530808391525.11,455837758493348,469738715754105
Belize,1368625150,1335217500,1396731700,1486595750,1563827850,1608442150,1692955750,1762500450,1806646250
Benin,7132787396.66547,7097198711.61023,6970240895.49888,7814081155.64988,8152554487.31321,9157355679.70205,9707432015.61441,8291155880.59505,8573159696.61128
Bhutan,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.83954,1958819095.68324,2059809919.89325,2219675780.89539
Bolivia,16674276951.8822,17339992165.2422,19649724655.4886,23963162983.7987,27084497539.7974,30659338929.0883,32996187988.4226,33000198263.3864,33941126193.9219
Bosnia and Herzegovina,19112739664.4697,17613836209.9581,17176781336.7644,18644723860.9709,17226849297.07,18178503835.4491,18558343508.3435,16209702863.6235,16911088173.7458
Botswana,10945070441.9283,10267133177.7334,12786654365.8738,15351972226.5024,14420393568.8596,14901750764.9811,16250750259.0212,14406496463.6055,15648632361.5749
Brazil,1695824565961.39,1667019783575.07,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1796275437087.99
Brunei Darussalam,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19048495518.5659,18093829923.2737,17098342541.4365,12930394937.8137,11400653949.1783
Bulgaria,54409138498.3548,51884481410.3931,50610058210.3696,57418414504.0882,53903022339.0276,55555171009772,56814543481.2102,50201314894.5817,53240950226.2443
Burkina Faso,8369637065.40255,8369175126.25316,8979966766.07232,10724063457.8326,11166063466.5623,11947176341.9966,12377391462.6377,10419303761.3524,10886363726.8422
Burundi,1611835901.9063,1781455092.07114,2032135246.50004,2235820867.82743,2333308099.46249,2451625332.74584,2705783272.07443,3104394858.11518,2959185295.39019
Cambodia,10351914093.1723,10401851850.6108,11242275198.9783,12829541141.0127,14054443213.4639,15227991395.2201,16702610842.4025,18049954289.4229,20016747754.0192
Cameroon,26409781215.1844,26017925551.8426,26143818509.6421,29337006833.0825,29104437355.0395,32348149947.3727,34942948737.3967,30916218544.4404,32621535418.9031
